ID,Context,Question,AnswerText
1,1,What is the name of the detective?,Pinkerton
2,1,Where did the detective live?,he was living in Chicago
4,2,How was the antagonist first described?,"He possessed all the qualifications which make a popular man. He had a genial, hearty manner"
5,2,What was the relationship status of the antagonist?,"He was married, and with his wife and one daughter"
7,2,What is the first and last name of the antagonist?,Nathan Maroney
8,3,When did the crime took place?,"On the morning of the twenty-sixth of April, 1858"
9,3,Where is the crime scence?,Montgomery
10,3,What was the crime?,theft
13,4,What was one evidence that Maroney is the real theaf,he wished to have a key made similar to the pouch key
14,4,What was the evidence?,he wished to have a key made similar to the pouch key
16,5,How did the antagonist confess about the crime?,"I stole it from the company, and have been able to keep it so far."
17,5,What is the resolution of the crime?,"I first stole ten thousand dollars, which was brought to my office on Sunday, by the messenger from Atlanta. I had no right to the package, and should have immediately re-billed it and sent it off. I was certain that no one knew that it had been missent. I never thought I should be guilty of theft till the time"
18,5,How did the antagonist stole the money?,"I first stole ten thousand dollars, which was brought to my office on Sunday, by the messenger from Atlanta. I had no right to the package, and should have immediately re-billed it and sent it off. I was certain that no one knew that it had been missent. I never thought I should be guilty of theft till the time"
3,1,How was the detective first described in the novel?,one man who could bring out the robbery
6,2,When did the antagonist started working for the Montgomery office?,in 1858
11,3,What was the amount of money missing or stolen?,ten thousand dollars in bills 
12,3,Who is the other party that was first envolved in the incident?,the messenger
15,4,What are the details of the evidence?,"On the sixth of May, Maroney mailed a letter, which the ""shadow"" discovered was directed to ""William M. Carter, Locksmith, William st., N. Y."" A note was taken of this, and as soon as possible Bangs left for New York, to interview Mr. Carter. He found that Carter was one of the best locksmiths in the city, and inclined to be a good fellow"
19,5,What did the antagonist do after stealing the money?,"In a short time I asked for leave of absence to make a visit to the North. It was granted me, and I started off, with the ten thousand dollars in my possession."
20,5,Did anyone from the antagonist family knew?,I did not tell my wife a word about it
